wordform,lemma,pos_tag
Teller,Teller,NOUN
essen,essen,VERB
Schafe,Schaf,NOUN
melken,melken,VERB
gemolken,molken,VERB
seihen,seihen,VERB
Milch,Milch,NOUN
durchgeseiht,durchseihen,VERB
Kasein,Kasein,NOUN
Tabletten,Tablett,NOUN
abendländische,abendländisch,NOUN
beispielsweise,beispielsweise,ADV
je,je,ADV
Menge,Menge,NOUN
soviel,soviel,DET
dazu,dazu,ADV
viel,viel,DET
wenig,wenig,DET
Maß,Maß,NOUN
hinzu,hinzu,ADV
deckt,decken,VERB
geduldet,bulden,VERB
zwei,zwei,NUM
Stunden,Stunde|Stunden,NOUN
findet,finden,VERB
dick,dick,ADJ
geronnene,geronnen,NOUN
einzige,einzig,ADJ
Form,Form,NOUN
setzen,setzen,VERB
hin,hin,ADV
stampfen,stampfen,VERB
kräftiges,kräftig,ADJ
Stampfen,Stampf|Stampfen,NOUN
oben,oben,ADV
steht,stehen,VERB
Käse,Käse,NOUN
Grund,Grund,NOUN
kleine,klein,ADJ
Laibe,Laibe,NOUN
Leute,Leute,NOUN
Sack,Sack,NOUN
pressen,pressen,VERB
langsam,langsam,ADJ
entsteht,entstehen,VERB
Händen,Hand,NOUN
einer,ein,DET
Hand,Hand,NOUN
andere,anderer,DET
Käselaibchen,Käselaibchen,NOUN
all,alle,ADV
Schüsseln,Schüssel,NOUN
voll,voll,ADJ
gemacht,machen,VERB
verkaufen,verkaufen,VERB
viele,viel,DET
Viehzüchter,Viehzuchte,NOUN
Vieh,Vieh,NOUN
Herdentiere,Herdentier,NOUN
kommt,kommen,VERB
Möglichkeiten,Möglichkeit,NOUN
stellt,stellen,VERB
entsprechend,entsprechend,ADJ
besitzt,besitzen,VERB
nun,nun,ADV
salzt,salzen,VERB
seiner,sein,DET
Vorderseite,Vorderseite,NOUN
Rückseite,Rückseite,NOUN
Salz,Salz,NOUN
schlichtet,schlichten,VERB
großes,groß,ADJ
zieht,zeihen|ziehen,VERB
etwas,etwas,PRON
gezogen,ziehen,VERB
fehlt,fehlen,VERB
drückt,drücken,VERB
indem,indem,SCONJ
Brett,Brett,NOUN
Stein,Stein,NOUN
darauflegt,darauflegen,VERB
Wasserspiegel,Wasserspiegel,NOUN
bleibt,bleiben,VERB
Enstehung,Enstehung,NOUN
Dorfkäses,Dorfkase,NOUN
hast,haben,AUX
du,du,PRON
Dorfes,Dorf,NOUN
gekostet,kosten,VERB
Hast,haben,NOUN
davon,davon,ADV
gegessen,essen,VERB
ja,ja,INTJ
Gut,gut,ADJ
Sehr,sehr,ADV
ursprünglich,ursprünglich,ADJ
dreißig,dreißig,NUM
Jahren,Jahr,NOUN
pflegten,pflegen,VERB
einzuladen,einladen,VERB
zwar,zwar,ADV
luden,laden,VERB
Jünglinge,Jüngling,NOUN
Mädchen,Mädchen,NOUN
Frauen,Frau,NOUN
Mahlen,Mahl,NOUN
Getreides,Getreid,NOUN
Handmühle,Handmühl,NOUN
Mahlsteinen,Mahlstein,NOUN
unten,unten,ADV
untere,unter,ADJ
Mitte,Mitte,NOUN
rundes,rund,ADJ
Loch,Loch,NOUN
